taxon_name,int_midpoint,sub,size,taxon_name,is_extant,firstapp_max_ma,firstapp_min_ma,lastapp_max_ma,lastapp_min_ma,early_interval,late_interval,
Anarhynchia,164.8,art,32.17,Anarhynchia,extinct,190.8,182.7,190.8,182.7,Pliensbachian,,
Anastrophia,409.2,art,30.87,Anastrophia,extinct,449.5,445.6,410.8,391.9,Katian,Eifelian,major ribbing
Anathyrella,377.45,art,59.6,Anathyrella,extinct,,,,,,,
Anathyris,377.45,art,53.72,Anathyris,extinct,412.3,393.3,379.5,358.9,Devonian,Late Devonian,
Anatrypa,377.45,art,16.665,Anatrypa,extinct,423,419.2,383.7,372.2,Pridoli,Frasnian,
Anazyga,449.1,art,7.906666667,Anazyga,extinct,470,458.4,449.5,443.4,Middle Ordovician,Late Ordovician,minor ribbing
Anchigonites,468.65,art,8.91,Anchigonites,extinct,477.7,470,468.1,463.5,Floian,Middle Ordovician,
Anchoramena,455.7,inart,20.404,Anchoramena,extinct,460.9,455.8,458.4,449.5,Darriwilian,Katian,
Ancillotoechia,409.2,art,10.20571429,Ancillotoechia,extinct,443.4,438.5,402.5,391.9,Silurian,Eifelian,minor ribbing
Ancistrocrania,69.05,inart,20.48,Ancistrocrania,extinct,93.5,89.3,3.6,2.588,Turonian,Neogene,
Ancistrorhyncha,455.7,art,9.785,Ancistrorhyncha,extinct,460.9,449.5,445.2,443.4,Darriwilian,Late Ordovician,minor ribbing
Ancorellina,186.75,art,1.94,Ancorellina,extinct,,,,,,,
Andalucinetes,400.45,art,7.24,Andalucinetes,extinct,,,,,,,
Andreaspira,338.8,art,36.54,Andreaspira,extinct,,,,,,,
Anelotreta,498.75,inart,1.1408,Anelotreta,extinct,513,501,513,501,Stage 4,Drumian,
Anemonaria,284.7,art,19.36,Anemonaria,extinct,306.95,298.9,259.9,252.17,Kasimovian,Permian,
Aneuthelasma,262.5,art,12.865,Aneuthelasma,extinct,279.3,272.3,265.1,259.9,Kungurian,Guadalupian,
Angiospirifer,319.2,art,30.66,Angiospirifer,extinct,358.9,345,326.4,318.1,Mississippian,Bashkirian,
Angulotreta,487.45,inart,1.721857924,Angulotreta,extinct,513,501,497,485.4,Stage 4,Furongian,
Angusticardinia,473.85,art,10.27333333,Angusticardinia,extinct,485.4,477.7,471.8,468.1,Early Ordovician,Dapingian,
Angustispatulata,352.8,inart,8.445,Angustispatulata,extinct,358.9,346.7,358.9,346.7,Tournaisian,,
Angustothyris,244.6,art,13.44,Angustothyris,extinct,247.2,242,235,221.5,Middle Triassic,Norian,
Aniabrochus,91.55,art,27.14,Aniabrochus,extinct,125,113,83.5,66,Aptian,Late Cretaceous,
Anidanthus,257.05,art,26.005,Anidanthus,extinct,303.7,298.9,254.17,252.17,Gzhelian,Permian,
Animonithyris,160.4,art,23.7,Animonithyris,extinct,163.5,157.3,163.5,157.3,Oxfordian,,
Anisactinella,231.5,art,6.416666667,Anisactinella,extinct,247.2,242,232,221.5,Middle Triassic,Norian,
Anisopleurella,435.95,art,5.212222222,Anisopleurella,extinct,468.1,460.9,445.2,443.4,Middle Ordovician,Late Ordovician,minor ribbing
Anomactinella,231.5,art,15.43,Anomactinella,extinct,235,232,235,232,Carnian,,
Anomalesia,292.8,art,17.28,Anomalesia,extinct,290.1,279.3,279.3,272.3,Artinskian,Kungurian,
Anomalocalyx,502.5,art,1.190465116,Anomalocalyx,extinct,507,504,507,504,Stage 5,Drumian,
Anomaloglossa,449.1,inart,51.7,Anomaloglossa,extinct,467.3,458.4,453,445.2,Darriwilian,Katian,
Anomaloria,262.5,art,22.65,Anomaloria,extinct,279.5,272.3,265.1,259.9,Artinskian,Guadalupian,
Anomalorthis,468.65,art,19.09,Anomalorthis,extinct,488.3,471.8,467.3,457.5,Stage 10,Sandbian,minor ribbing
Anoplia,400.45,art,5.911428571,Anoplia,extinct,419.2,410.8,393.3,387.7,Early Devonian,Eifelian,
Anopliella,400.45,art,1.566,Anopliella,extinct,407.6,393.3,407.6,393.3,Emsian,,
Anopliopsis,319.2,art,3.192,Anopliopsis,extinct,358.9,353.8,345.3,342.8,Tournaisian,Visean,
Anoplotheca,400.45,art,15.78666667,Anoplotheca,extinct,440.8,433.4,382.7,372.2,Aeronian,Frasnian,minor ribbing
Anoptambonites,449.1,art,9.7275,Anoptambonites,extinct,470,460.9,449.5,443.4,Middle Ordovician,Late Ordovician,minor ribbing
Ansehia,257.05,art,7.113333333,Ansehia,extinct,265.1,259.9,265.1,259.9,Capitanian,,
Anteridocus,262.5,art,7.24,Anteridocus,extinct,295.5,290.1,265.1,259.9,Sakmarian,Guadalupian,
Anthracospirifer,305.35,art,27.25,Anthracospirifer,extinct,358.9,336,303.7,298.9,Carboniferous,,
Anthracothyrina,319.2,inart,59,Anthracothyrina,extinct,,,,,,,
Antigonambonites,468.65,art,27.75333333,Antigonambonites,extinct,478.6,471.8,466,458.4,Early Ordovician,Middle Ordovician,minor ribbing
Antigoniarcula,186.75,art,17.135,Antigoniarcula,extinct,,,,,,,
Antiptychina,160.4,art,15.05,Antiptychina,extinct,201.3,190.8,132.9,129.4,Jurassic,Hauterivian,
Antiquatonia,284.7,art,49.07,Antiquatonia,extinct,358.9,346.7,259.9,254.17,Carboniferous,Wuchiapingian,
Antispirifer,409.2,art,16.24,Antispirifer,extinct,,,,,,,
Antistrix,385.2,art,7.873333333,Antistrix,extinct,393.3,387.7,393.3,382.7,Middle Devonian,,
Anx,449.1,inart,2.686324786,Anx,extinct,460.9,455.8,455.8,445.6,Darriwilian,Katian,
Aorhynchia,244.6,art,11.775,Aorhynchia,extinct,247.2,242,247.2,242,Anisian,,
Aparimarhynchia,244.6,art,8.03,Aparimarhynchia,extinct,247.2,242,247.2,237,Middle Triassic,,
Apatecosia,164.8,art,32.11,Apatecosia,extinct,166.1,163.5,163.5,157.3,Callovian,Oxfordian,
Apatobolus,455.7,inart,5.483333333,Apatobolus,extinct,478.6,466,457.5,449.5,Early Ordovician,Katian,
Apatomorpha,455.7,art,10.04666667,Apatomorpha,extinct,467.3,460.9,453,445.2,Darriwilian,Katian,
Apatorthis,449.1,art,17.22307692,Apatorthis,extinct,463.5,460.9,457.5,449.5,Darriwilian,Katian,
Aperispirifer,257.05,art,71.67,Aperispirifer,extinct,290.1,279.3,254.17,252.17,Artinskian,Lopingian,
Apertirhynchella,231.5,art,14.65,Apertirhynchella,extinct,237,221.5,232,201.3,Late Triassic,,
Aphaurosia,262.5,art,11.39,Aphaurosia,extinct,268.8,265.1,265.1,259.9,Wordian,Capitanian,
Apheathyris,455.7,art,28.77333333,Apheathyris,extinct,,,,,,,
Aphelesia,4.47,art,21.96,Aphelesia,extinct,28.1,23.03,1.806,0.781,Chattian,Calabrian,
Apheoorthina,481.55,art,14.35172414,Apheoorthina,extinct,485.4,477.7,478.6,471.8,Tremadocian,Early Ordovician,
Apheoorthis,473.85,art,10.925,Apheoorthis,extinct,501,485.4,466,460.9,Drumian,Middle Ordovician,minor ribbing
Apollonorthis,462.85,art,16.77,Apollonorthis,extinct,466,460.9,449.5,445.6,Darriwilian,Katian,
Apomatella,468.65,art,9.795,Apomatella,extinct,471.8,468.1,466,460.9,Floian,Middle Ordovician,
Aporthophyla,468.65,art,16.60666667,Aporthophyla,extinct,485.4,477.7,449.5,443.7,Early Ordovician,Ordovician,
Aporthophylina,468.65,art,30.84,Aporthophylina,extinct,467.3,458.4,467.3,458.4,Darriwilian,,
Apousiella,377.45,art,28.72,Apousiella,extinct,383.7,382.4,358.9,346.7,Givetian,Tournaisian,
Apringia,167.2,art,18.91,Apringia,extinct,201.3,199.3,168.3,166.1,Early Jurassic,Bathonian,
Apsocalymma,338.8,art,100.1212121,Apsocalymma,extinct,,,,,,,
Apsotreta,473.85,inart,1.97005988,Apsotreta,extinct,500.5,497,478.6,466,Guzhangian,Middle Ordovician,
Arabatia,164.8,art,36.77,Arabatia,extinct,170.3,166.1,164.7,157.3,Bajocian,Oxfordian,
Araksalosia,365.55,art,57.57,Araksalosia,extinct,,,,,,,
Araratella,352.8,art,19.3,Araratella,extinct,382.7,360.7,364.7,358.9,Late Devonian,,
Araspirifer,424.3,art,16.14,Araspirifer,extinct,433.4,427.4,419.2,410.8,Wenlock,Lochkovian,
Aratanea,424.3,art,22.06923077,Aratanea,extinct,443.4,433.4,443.4,433.4,Llandovery,,
Aratoechia,428.95,art,20.77894737,Aratoechia,extinct,430.5,427.4,430.5,427.4,Homerian,,
Araxathyris,257.05,art,32.77,Araxathyris,extinct,279.3,272.3,221.5,215.56,Kungurian,Norian,
Araxilevis,257.05,art,53.84,Araxilevis,extinct,265.1,259.9,259.9,254.17,Capitanian,Wuchiapingian,
Arbizustrophia,400.45,art,12.8,Arbizustrophia,extinct,,,,,,,
Arcelinithyris,169.3,art,16.46,Arcelinithyris,extinct,171.6,168.3,170.3,167.7,Aalenian,Bathonian,
Arceythyris,164.8,art,21.61,Arceythyris,extinct,167.7,164.7,167.7,164.7,Bathonian,Callovian,
Archaeorthis,468.65,art,6.803333333,Archaeorthis,extinct,501,485.4,460.9,449.5,Drumian,Katian,
Archaiosteges,338.8,art,20.715,Archaiosteges,extinct,,,,,,,
Archboldina,292.8,art,17.315,Archboldina,extinct,295.5,290.1,295.5,290.1,Sakmarian,,
Arcticalosia,262.5,art,51.03,Arcticalosia,extinct,290.1,279.3,268.8,265.1,Artinskian,Wordian,
Arctochonetes,275.8,art,9.625,Arctochonetes,extinct,290.1,279.3,259.9,252.17,Artinskian,Lopingian,
Arctohedra,498.75,art,2.978095238,Arctohedra,extinct,513,504,507,501,Stage 4,Drumian,
Arctomeristina,428.95,art,25.1,Arctomeristina,extinct,438.5,433.4,438.5,430.5,Telychian,Sheinwoodian,
Arctothyris,238.5,art,33.58,Arctothyris,extinct,242,237,242,237,Ladinian,,
Arcuaminetes,385.2,art,6.575757576,Arcuaminetes,extinct,388.1,383.7,387.7,382.7,Middle Devonian,Givetian,
Arcuatothyris,96.9,art,14.77333333,Arcuatothyris,extinct,100.5,93.9,99.6,93.5,Cenomanian,Turonian,
Arcullina,270.55,art,54.29,Arcullina,extinct,295.5,290.1,254.17,252.17,Sakmarian,Lopingian,
Ardiviscus,365.55,art,23.36,Ardiviscus,extinct,,,,,,,
Ardmosteges,319.2,art,20.9,Ardmosteges,extinct,318.1,314.6,318.1,314.6,Bashkirian,Moscovian,
Arduspirifer,385.2,art,42.51,Arduspirifer,extinct,410.8,407.6,393.3,387.7,Pragian,Eifelian,
Arenaciarcula,96.9,art,18.415,Arenaciarcula,extinct,125,113,125,113,Aptian,,
Arenorthis,449.1,art,27.52,Arenorthis,extinct,445.2,443.4,445.2,443.4,Hirnantian,,
Areostrophia,400.45,art,32.45333333,Areostrophia,extinct,433.4,427.4,402.5,391.9,Wenlock,Eifelian,
Argella,421.1,art,8.395,Argella,extinct,,,,,,,
Argentiproductus,327.05,art,26.79,Argentiproductus,extinct,358.9,346.7,326.4,318.1,Mississippian,Bashkirian,
Argorhynx,409.2,art,6.994117647,Argorhynx,extinct,,,,,,,
Argovithyris,154.7,art,16.58,Argovithyris,extinct,163.5,157.3,161.2,155.7,Oxfordian,Kimmeridgian,
